mode_id,scope_id,scope_level,failure_mode,potential_cause,effect_id,typical_control,baseline_detection,recommended_action,origin,origin_part_id,origin_part_name
FM-HOSE-FUEL-01,PT-HOSE-FUEL,TYPE,Wear through / line stress from mechanical interference,Conductive heating & chafing from close proximity to turbo hot sources,EF-01,Design review and validation test plan,4,Determine final placement of cooler lines; add protective silicone fiberglass chafing sleeve.,CURRENT_PROGRAM,TR-FL-001,Hose 3: Fuel Cooler Supply Line
FM-VALVE-MECH-01,PT-VALVE-MECH,TYPE,Stem seal weep under high thermal cycling,Packing nut loosening under continuous engine 2nd order harmonic vibration,EF-02,Design review and validation test plan,3,Apply high-temp thread locker and increase packing nut torque specification to 45 Nm.,CURRENT_PROGRAM,TR-FL-002,Shutoff Valve Assembly & Mounting
FM-HOSE-FUEL-02,PT-HOSE-FUEL,TYPE,Thermal degradation & outer cover micro-cracking,Radiant engine bay heat soak exceeding 140°C continuous rating,EF-01,Design review and validation test plan,4,Upgrade outer layer to double-braided silicone jacket; relocate 30mm away from manifold.,CURRENT_PROGRAM,TR-FL-003,High-Pressure Fuel Common Rail Feed Hose
FM-CLAMP-01,PT-CLAMP,TYPE,Low-temperature fuel weeping below -15°C,Hose rubber cold compression set exceeding clamp spring expansion margin,EF-02,Design review and validation test plan,3,Upgrade to Belleville-assisted constant tension clamp with 20% higher spring travel.,CURRENT_PROGRAM,TR-FL-004,Constant-Tension Fuel Return Line Clamp
FM-BRACKET-01,PT-BRACKET,TYPE,Resonant fatigue fracture along primary mounting lug fillet,First bending mode vibration (145 Hz) matching diesel engine firing frequency,EF-06,Design review and validation test plan,5,Increase fillet radius from 2.5mm to 5.0mm and add 4mm stiffening rib gussets.,CURRENT_PROGRAM,TR-FL-005,Fuel Filter Cast Structural Bracket
FM-COUPLING-01,PT-COUPLING,TYPE,Retaining latch tab embrittlement fracture,UV exposure combined with calcium chloride road salt chemical degradation,EF-01,Design review and validation test plan,6,Mandate UV-stabilized PA12 nylon compound and stainless steel secondary locking clip.,CURRENT_PROGRAM,TR-FL-006,Quick-Connect Nylon Fuel Coupling
FM-FILTER-SEP-01,PT-FILTER-SEP,TYPE,Stress corrosion cracking of polymer bowl body,Chemical attack from aggressive biodiesel additives under high ambient temperature,EF-02,Design review and validation test plan,3,Switch bowl material to chemical-resistant Grilamid TR-90 nylon.,CURRENT_PROGRAM,TR-FL-007,Primary Water Separator Drain Bowl Assembly
FM-TUBE-RIGID-01,PT-TUBE-RIGID,TYPE,Vent line pinch and fuel starvation under chassis twist,Inadequate clearance to rear axle suspension link during max articulation,EF-06,Design review and validation test plan,4,Reroute tube through internal frame channel with steel spiral armor sleeve.,CURRENT_PROGRAM,TR-FL-008,Fuel Tank Breather & Vapor Vent Tube
FM-HOSE-FUEL-03,PT-HOSE-FUEL,TYPE,Barb fitting pop-off under cold start pressure spikes,Viscous cold fuel creating transient backpressure above barb pull-off rating,EF-01,Design review and validation test plan,3,Replace push-on barbs with positive-locking brass crimp ferrules.,CURRENT_PROGRAM,TR-FL-009,Injector Spill-Off Fuel Return Harness
FM-FILTER-SEP-02,PT-FILTER-SEP,TYPE,Mesh collapse under severe bio-paraffin wax clogging,Cold diesel wax precipitation restricting flow area during sub-zero operation,EF-06,Design review and validation test plan,3,Add 50W electric PTC heater element into suction strainer housing.,CURRENT_PROGRAM,TR-FL-010,Fuel Transfer Pump Suction Line Strainer
FM-HOSE-REFRIG-01,PT-HOSE-REFRIG,TYPE,Refrigerant leakage at aluminum crimp fitting collar,Axial fretting between ferrule crimp and rubber barrier under engine shake,EF-10,Design review and validation test plan,5,Mandate 8-segment deep bubble crimp geometry with HNBR inner sealant coating.,CURRENT_PROGRAM,TR-AC-011,HVAC Refrigerant Suction Hose Assembly
FM-TUBE-RIGID-02,PT-TUBE-RIGID,TYPE,Wall abrasion pinhole leak against engine frame rail,Inadequate clearance (<15mm) allowing contact during chassis torsional twist,EF-10,Design review and validation test plan,4,Add rigid P-clamp support bracket to maintain guaranteed 25mm clearance.,CURRENT_PROGRAM,TR-AC-012,Swaged Aluminum Condenser Discharge Tube
FM-BRACKET-02,PT-BRACKET,TYPE,Brittle fatigue fracture at lower compressor bolt eyelet,Casting shrinkage porosity combined with cantilevered belt tension load,EF-06,Design review and validation test plan,4,Specify 100% X-ray inspection on casting lugs; increase lug wall thickness by 3mm.,CURRENT_PROGRAM,TR-AC-013,AC Compressor Cast Iron Mount Bracket
FM-SEAL-01,PT-SEAL,TYPE,Seal extrusion and permanent compression set loss,Engine compartment heat soak exceeding 135°C after engine shutdown,EF-10,Design review and validation test plan,3,Upgrade seal compound to FKM Fluorocarbon with PTFE anti-extrusion backup ring.,CURRENT_PROGRAM,TR-AC-014,HNBR O-Ring Refrigerant Joint Seal
FM-VALVE-MECH-02,PT-VALVE-MECH,TYPE,Internal orifice clogging and cab cooling loss,Desiccant silica gel breakdown debris from receiver-drier bottle,EF-11,Design review and validation test plan,2,Incorporate 50-micron stainless steel inlet filter mesh inside valve body.,CURRENT_PROGRAM,TR-AC-015,Evaporator Block Expansion Valve Assembly
FM-BRACKET-03,PT-BRACKET,TYPE,Galvanic corrosion pitting on aluminum bottle housing,Direct steel-to-aluminum contact without insulating isolator gasket,EF-10,Design review and validation test plan,3,Add EPDM rubber sleeve lining inside mounting strap.,CURRENT_PROGRAM,TR-AC-016,Receiver Drier Mounting Strap Bracket
FM-CLAMP-02,PT-CLAMP,TYPE,Blower noise chitter and duct slippage,Torque loss of worm-gear screw under cab heating/cooling cycles,EF-12,Design review and validation test plan,2,Switch to constant-tension spring-loaded T-bolt clamp.,CURRENT_PROGRAM,TR-AC-017,Cab Roof HVAC Blower Duct Hose Clamp
FM-VALVE-MECH-03,PT-VALVE-MECH,TYPE,Schrader valve core leak following dealership servicing,Dirt ingress into valve seat during field servicing without protective dust cap,EF-10,Design review and validation test plan,3,Tether heavy-duty rubber sealed dust cap directly to service port body.,CURRENT_PROGRAM,TR-AC-018,High-Pressure Service Port Valve Cap & Core
FM-HOSE-REFRIG-02,PT-HOSE-REFRIG,TYPE,A-pillar trim buzzing & structure-borne noise transmission,Hose stiffness transmitting compressor pulsation frequencies into cab sheet metal,EF-12,Design review and validation test plan,2,Insert inline hydraulic noise attenuator loop at cab isolation interface.,CURRENT_PROGRAM,TR-AC-019,Cab Isolated Liquid Line AC Hose
FM-VALVE-SOLENOID-01,PT-VALVE-SOLENOID,TYPE,Solenoid coil short circuit under high humidity washdown,High-pressure power washer intrusion past connector seal,EF-09,Design review and validation test plan,4,Upgrade connector housing to Deutsch DT IP69K sealed connector.,CURRENT_PROGRAM,TR-AC-020,Compressor Variable Displacement Solenoid Valve
FM-HOSE-HYD-01,PT-HOSE-HYD,TYPE,Catastrophic hose wire burst & high-pressure oil spray,Transient hydraulic shock wave exceeding impulse fatigue limit (500k cycles),EF-03,Design review and validation test plan,4,Upgrade hose specification to 6-spiral wire SAE 100R17 rated for 420 bar working pressure.,CURRENT_PROGRAM,TR-HYD-021,Steering Cylinder High-Pressure Flex Hose
FM-BRACKET-04,PT-BRACKET,TYPE,Bore micro-fretting & steering play accumulation,Insufficient bore surface hardness (HRC < 35) under cyclic steering torque,EF-03,Design review and validation test plan,5,Induction harden kingpin taper bore to HRC 55-60 to depth of 2.5mm.,CURRENT_PROGRAM,TR-HYD-022,Steering Arm Forged Steel Bracket
FM-FITTING-01,PT-FITTING,TYPE,Thread shear & fitting disconnection during maintenance,Over-torquing beyond 60 Nm combined with low shear strength of 11SMn30 steel,EF-03,Design review and validation test plan,2,Upgrade adapter body material to High-Strength Forged 42CrMo4 Steel.,CURRENT_PROGRAM,TR-HYD-023,Steel Hydraulic Swivel Bulkhead Adapter
FM-TUBE-RIGID-03,PT-TUBE-RIGID,TYPE,Crater pitting & pinhole oil leak under severe salt spray,Zinc plating breakdown under aggressive winter de-icing chemicals,EF-02,Design review and validation test plan,4,Mandate Zinc-Nickel (ZnNi) plating with minimum 720-hour salt spray endurance.,CURRENT_PROGRAM,TR-HYD-024,Priority Steering Valve Control Line
FM-HOSE-HYD-02,PT-HOSE-HYD,TYPE,Hose collapse & oil cavitation under cold start suction,Vacuum collapse of inner rubber tube when fluid viscosity is high at -20°C,EF-03,Design review and validation test plan,3,Insert internal stainless steel helical wire coil inside hose lumen.,CURRENT_PROGRAM,TR-HYD-025,Low-Pressure Hydraulic Oil Return Hose
FM-HOSE-HYD-03,PT-HOSE-HYD,TYPE,Outer cover gouging from 3-point hitch sway link pinch,Insufficient clearance during extreme hitch lateral sway movement,EF-07,Design review and validation test plan,3,Add heavy-duty UHMW polyethylene spiral wrap guard over hose length.,CURRENT_PROGRAM,TR-HYD-026,Rear 3-Point Hitch Implement Cylinder Hose
FM-BRACKET-05,PT-BRACKET,TYPE,Cab floor pan oil drumming & steering wheel vibration,Dampener stiffness too high transmitting orbitrol pressure ripples,EF-12,Design review and validation test plan,2,Redesign with dual-durometer tuned rubber isolation bushings.,CURRENT_PROGRAM,TR-HYD-027,Hydrostatic Steering Orbitrol Valve Mounting Plate
FM-COUPLING-02,PT-COUPLING,TYPE,Poppet valve stuck open leading to hydraulic oil spillage,Dirt particle contamination jamming internal poppet return spring,EF-08,Design review and validation test plan,2,Include automatic breakaway dust covers with internal flushing grooves.,CURRENT_PROGRAM,TR-HYD-028,Implement Quick-Disconnect Female Coupler
FM-HOSE-HYD-04,PT-HOSE-HYD,TYPE,Steering drift due to air entrapment in pilot line,High compliance in micro-bore tube expanding under pilot pressure,EF-16,Design review and validation test plan,4,Replace flex tube with rigid stainless steel 4mm hard line.,CURRENT_PROGRAM,TR-HYD-029,Electro-Hydraulic Steering Pilot Sensor Line
