issue_id,part_id,scope_id,mode_id,report_date,units_in_service,claim_count,median_machine_hours,detection_stage,observed_effect_id,observed_severity,description
8D-2021-0001,TR-ELE-046,PT-BRACKET,FM-BRACKET-07,2021-01-05,7800,39,3550,END_OF_LINE_TEST,EF-16,6,Sensor wire rip-out during field tilling observed on Wheel Speed ABS Sensor Cable Guard Bracket. Root cause: Heavy corn stalk wrapping around unprotected wheel speed cable loop
8D-2021-0002,TR-ELE-044,PT-SEAL,FM-SEAL-02,2021-02-01,5200,26,1850,VALIDATION_TEST,EF-06,8,Boot tearing and starter corrosion failure observed on Starter Motor Solenoid Protective Boot. Root cause: Tearing during assembly due to sharp edges on terminal lug
8D-2021-0003,TR-LEG-SL-971,PT-SEAL,FM-SEAL-04,2021-02-03,8200,16,3450,DEALER_SERVICE,EF-02,7,"Seal chemical swell from incorrect service fluid observed on Transmission Cover Seal (Program T4, retired 2019). Root cause: Field top-up with non-approved fluid attacking the elastomer compound"
8D-2021-0004,TR-LEG-CL-941,PT-CLAMP,FM-CLAMP-05,2021-02-22,6500,32,2050,END_OF_LINE_TEST,EF-02,7,"Clamp band stress corrosion cracking in salt environments observed on Coolant Hose Clamp (Program T5, retired 2021). Root cause: Chloride attack on sensitised 301 stainless band under sustained tensile load"
8D-2021-0005,TR-AC-019,PT-HOSE-REFRIG,FM-HOSE-REFRIG-02,2021-02-24,3300,36,2350,VALIDATION_TEST,EF-12,3,A-pillar trim buzzing & structure-borne noise transmission observed on Cab Isolated Liquid Line AC Hose. Root cause: Hose stiffness transmitting compressor pulsation frequencies into cab sheet metal
8D-2021-0006,TR-LEG-VL-951,FAM-FLOW-CONTROL,FM-FLOW-CONTROL-01,2021-03-01,5700,28,2800,DEALER_SERVICE,EF-02,7,"Valve body porosity leak from casting defect observed on Hydraulic Selector Valve (Program T4, retired 2019). Root cause: Gas porosity in the die cast body wall opening under pressure cycling"
8D-2021-0007,TR-ENG-033,PT-HOSE-COOLANT,FM-HOSE-COOLANT-03,2021-03-07,6000,30,1300,VALIDATION_TEST,EF-15,5,Coolant vapor permeation loss requiring frequent top-ups observed on Coolant Degassing Expansion Tank Hose. Root cause: High steam permeability coefficient of standard silicone rubber
8D-2021-0008,TR-LEG-PN-991,PT-TUBE-PNEUMATIC,FM-TUBE-PNEUMATIC-03,2021-03-13,1300,14,2050,END_OF_LINE_TEST,EF-04,10,"Tube kink at bulkhead pass-through restricting air flow observed on Air Supply Tube (Program T5, retired 2020). Root cause: Bend radius below the specified minimum where the tube crosses the frame"
8D-2021-0009,TR-ENG-040,PT-VALVE-MECH,FM-VALVE-MECH-05,2021-03-15,5100,5,2250,VALIDATION_TEST,EF-05,8,Dezincification corrosion & stem snapping upon opening observed on Engine Block Coolant Drain Valve Cock. Root cause: Aggressive tap water used in field topping off coolant mixture
8D-2021-0010,TR-LEG-FS-993,PT-FILTER-SEP,FM-FILTER-SEP-03,2021-03-19,7600,84,400,DEALER_SERVICE,EF-02,7,"Housing thread cross-threading during service causing leak observed on Water Separator Housing (Program T5, retired 2020). Root cause: Coarse thread pitch on a polymer housing tightened by hand in the field"
8D-2021-0011,TR-LEG-GN-801,FAM-FLEX-ROUTING,FM-FLEX-ROUTING-02,2021-03-27,3800,19,200,END_OF_LINE_TEST,EF-02,7,"Chafing wear-through against adjacent structure observed on Multiple flexible lines (Programs T4-T6, recurring). Root cause: Line contacting a frame member or bracket edge with no separation clip or sleeve"
