part_id,system_package,item_reference,elementary_function,material_type
TR-FL-001,Fuel Routings,Hose 3: Fuel Cooler Supply Line,Transport bio-diesel fuel to cooler circuit without thermal leaks,Nitrile Rubber NBR with Aramid Braid
TR-FL-002,Fuel Routings,Shutoff Valve Assembly & Mounting,Isolate fuel flow during emergency shutdown with zero leakage,Stainless Steel SS316L
TR-FL-003,Fuel Routings,High-Pressure Fuel Common Rail Feed Hose,Deliver pressurized diesel (15 bar) to common rail manifold,Fluoroelastomer FKM with Stainless Wire Shield
TR-FL-004,Fuel Routings,Constant-Tension Fuel Return Line Clamp,Maintain uniform 850N radial clamping force across thermal range,51CrV4 Spring Steel (Zinc-Nickel Plated)
TR-FL-005,Fuel Routings,Fuel Filter Cast Structural Bracket,Support dual fuel filter assembly against 20G chassis shock,ADC12 Die-Cast Aluminum
TR-FL-006,Fuel Routings,Quick-Connect Nylon Fuel Coupling,Enable tool-less leak-free fuel line connection during service,PA66-GF30 (30% Glass Reinforced Nylon)
TR-FL-007,Fuel Routings,Primary Water Separator Drain Bowl Assembly,Collect separated water from fuel with manual drain valve,Polycarbonate Clear Bowl with Brass Valve
TR-FL-008,Fuel Routings,Fuel Tank Breather & Vapor Vent Tube,Equalize fuel tank internal pressure during high-flow consumption,HDPE High-Density Polyethylene
TR-FL-009,Fuel Routings,Injector Spill-Off Fuel Return Harness,Recirculate excess injector fuel back to main storage tank,Polyamide PA12 Braided Tubing
TR-FL-010,Fuel Routings,Fuel Transfer Pump Suction Line Strainer,Filter coarse particulates (>200 micron) prior to lift pump intake,SS304 Mesh with Nylon Housing
TR-AC-011,AC Routings,HVAC Refrigerant Suction Hose Assembly,Route gaseous R134a/R1234yf refrigerant from evaporator to compressor,PA/IIR Barrier Hose with Steel Ferrules
TR-AC-012,AC Routings,Swaged Aluminum Condenser Discharge Tube,Direct hot high-pressure gas from compressor to front condenser radiator,Aluminum Alloy 3003-H14
TR-AC-013,AC Routings,AC Compressor Cast Iron Mount Bracket,Rigidly bolt heavy compressor to engine block under 22G engine shake,Ductile Iron GGG40
TR-AC-014,AC Routings,HNBR O-Ring Refrigerant Joint Seal,Prevent high-pressure R1234yf leakage across block fittings,HNBR 70 Shore A (Hydrogenated Nitrile)
TR-AC-015,AC Routings,Evaporator Block Expansion Valve Assembly,Meter liquid refrigerant flow into cab HVAC evaporator core,Anodized Extruded Aluminum 6061-T6
TR-AC-016,AC Routings,Receiver Drier Mounting Strap Bracket,Secure aluminum receiver-drier cylinder to cab subframe,Galvanized Low Carbon Steel ST12
TR-AC-017,AC Routings,Cab Roof HVAC Blower Duct Hose Clamp,Fasten flexible airflow ducting to cab overhead ventilation nozzles,AISI 304 Stainless Steel Band Clamp
TR-AC-018,AC Routings,High-Pressure Service Port Valve Cap & Core,Provide sealed service access point for HVAC recharge equipment,Brass Body with Neoprene Internal Seal
TR-AC-019,AC Routings,Cab Isolated Liquid Line AC Hose,Carry condensed liquid refrigerant up cab rear A-pillar,EPDM Rubber with Synthetic Textile Braid
TR-AC-020,AC Routings,Compressor Variable Displacement Solenoid Valve,Regulate compressor displacement based on cab cooling demand,Steel Housing with Molded Epoxy Coil
TR-HYD-021,Hydraulic Steering Routings,Steering Cylinder High-Pressure Flex Hose,Transmit 350 bar hydraulic power to front axle steering cylinder,Four-Spiral Steel Wire Reinforced Rubber (SAE 100R15)
TR-HYD-022,Hydraulic Steering Routings,Steering Arm Forged Steel Bracket,Transfer steering cylinder thrust load to kingpin spindle assembly,Forged AISI 4140 Quenched & Tempered
TR-HYD-023,Hydraulic Steering Routings,Steel Hydraulic Swivel Bulkhead Adapter,Provide 360-degree rotation joint for front loader hydraulic lines,Free-Cutting Carbon Steel 11SMn30 (Zinc Plated)
TR-HYD-024,Hydraulic Steering Routings,Priority Steering Valve Control Line,Ensure steering circuit maintains hydraulic oil priority over implement hydraulics,Cold Drawn Seamless Steel Tube E235+N
