part_id,mode_id,severity,occurrence,detection,current_design_control,analyzed_by,analysis_date,revision
TR-FL-001,FM-HOSE-FUEL-01,9,7,4,Design review and validation test plan,DFMEA Workshop Team A,2025-01-06,Rev A
TR-FL-001,FM-HOSE-FUEL-04,9,5,3,End-of-line 6 bar air-decay leak test,DFMEA Workshop Team A,2025-01-06,Rev A
TR-FL-002,FM-VALVE-MECH-01,7,5,3,Design review and validation test plan,DFMEA Workshop Team B,2025-01-13,Rev A
TR-FL-002,FM-VALVE-MECH-02,4,5,2,Design review and validation test plan,DFMEA Workshop Team B,2025-01-13,Rev A
TR-FL-002,FM-VALVE-MECH-04,8,5,3,Design review and validation test plan,DFMEA Workshop Team B,2025-01-13,Rev A
TR-FL-002,FM-FLOW-CONTROL-02,5,4,7,Cold chamber functional test at type approval,DFMEA Workshop Team B,2025-01-13,Rev A
TR-FL-003,FM-HOSE-FUEL-02,7,6,4,Design review and validation test plan,DFMEA Workshop Team C,2025-01-20,Rev A
TR-FL-003,FM-HOSE-FUEL-01,9,2,5,Design review and validation test plan,DFMEA Workshop Team C,2025-01-20,Rev A
TR-FL-003,FM-HOSE-FUEL-03,9,3,3,Design review and validation test plan,DFMEA Workshop Team C,2025-01-20,Rev A
TR-FL-004,FM-CLAMP-01,7,5,3,Design review and validation test plan,DFMEA Workshop Team A,2025-01-27,Rev A
TR-FL-004,FM-CLAMP-05,7,3,5,480h salt spray on sample lots,DFMEA Workshop Team A,2025-01-27,Rev A
TR-FL-005,FM-BRACKET-01,8,6,5,Design review and validation test plan,DFMEA Workshop Team B,2025-02-03,Rev A
TR-FL-005,FM-BRACKET-03,6,3,2,Design review and validation test plan,DFMEA Workshop Team B,2025-02-03,Rev A
TR-FL-005,FM-BRACKET-04,9,4,6,Design review and validation test plan,DFMEA Workshop Team B,2025-02-03,Rev A
TR-FL-005,FM-BRACKET-05,3,4,2,Design review and validation test plan,DFMEA Workshop Team B,2025-02-03,Rev A
TR-FL-005,FM-BRACKET-06,8,4,4,Design review and validation test plan,DFMEA Workshop Team B,2025-02-03,Rev A
TR-FL-005,FM-BRACKET-09,3,4,4,Assembly torque audit,DFMEA Workshop Team B,2025-02-03,Rev A
TR-FL-006,FM-COUPLING-01,9,4,6,Design review and validation test plan,DFMEA Workshop Team C,2025-02-10,Rev A
TR-FL-006,FM-JOINT-01,5,4,3,Assembly torque monitoring,DFMEA Workshop Team C,2025-02-10,Rev A
TR-FL-007,FM-FILTER-SEP-01,7,4,3,Design review and validation test plan,DFMEA Workshop Team A,2025-02-17,Rev A
TR-FL-007,FM-FILTER-SEP-02,8,2,2,Design review and validation test plan,DFMEA Workshop Team A,2025-02-17,Rev A
TR-FL-008,FM-TUBE-RIGID-01,8,5,4,Design review and validation test plan,DFMEA Workshop Team B,2025-02-24,Rev A
TR-FL-008,FM-TUBE-RIGID-04,8,5,3,Design review and validation test plan,DFMEA Workshop Team B,2025-02-24,Rev A
TR-FL-008,FM-TUBE-RIGID-05,8,4,4,Design review and validation test plan,DFMEA Workshop Team B,2025-02-24,Rev A
TR-FL-009,FM-HOSE-FUEL-03,9,6,3,Design review and validation test plan,DFMEA Workshop Team C,2025-03-03,Rev A
TR-FL-009,FM-HOSE-FUEL-01,9,4,4,Design review and validation test plan,DFMEA Workshop Team C,2025-03-03,Rev A
TR-FL-009,FM-FLEX-ROUTING-02,7,4,4,Digital mock-up clearance check at design freeze,DFMEA Workshop Team C,2025-03-03,Rev A
TR-FL-010,FM-FILTER-SEP-02,8,5,3,Design review and validation test plan,DFMEA Workshop Team A,2025-03-10,Rev A
TR-AC-011,FM-HOSE-REFRIG-01,6,6,5,Design review and validation test plan,DFMEA Workshop Team B,2025-03-17,Rev A
TR-AC-011,FM-HOSE-REFRIG-02,3,3,2,Design review and validation test plan,DFMEA Workshop Team B,2025-03-17,Rev A
TR-AC-011,FM-HOSE-REFRIG-03,6,5,9,Annual dealer recharge,DFMEA Workshop Team B,2025-03-17,Rev A
TR-AC-011,FM-FLEX-ROUTING-02,7,5,4,Digital mock-up clearance check at design freeze,DFMEA Workshop Team B,2025-03-17,Rev A
TR-AC-012,FM-TUBE-RIGID-02,6,5,4,Design review and validation test plan,DFMEA Workshop Team C,2025-03-24,Rev A
TR-AC-012,FM-TUBE-RIGID-01,8,5,3,Design review and validation test plan,DFMEA Workshop Team C,2025-03-24,Rev A
TR-AC-012,FM-TUBE-RIGID-03,7,3,5,Design review and validation test plan,DFMEA Workshop Team C,2025-03-24,Rev A
TR-AC-013,FM-BRACKET-02,8,5,4,Design review and validation test plan,DFMEA Workshop Team A,2025-03-31,Rev A
TR-AC-013,FM-BRACKET-01,8,2,5,Design review and validation test plan,DFMEA Workshop Team A,2025-03-31,Rev A
TR-AC-013,FM-BRACKET-06,8,4,5,Design review and validation test plan,DFMEA Workshop Team A,2025-03-31,Rev A
TR-AC-013,FM-BRACKET-08,8,2,6,Sample dye penetrant inspection,DFMEA Workshop Team A,2025-03-31,Rev A
TR-AC-013,FM-BRACKET-09,3,4,5,Assembly torque audit,DFMEA Workshop Team A,2025-03-31,Rev A
TR-AC-014,FM-SEAL-01,6,4,3,Design review and validation test plan,DFMEA Workshop Team B,2025-04-07,Rev A
TR-AC-014,FM-SEAL-04,7,3,7,Service manual fluid specification,DFMEA Workshop Team B,2025-04-07,Rev A
TR-AC-015,FM-VALVE-MECH-02,4,4,2,Design review and validation test plan,DFMEA Workshop Team C,2025-04-14,Rev A
